"","Weir","StreamName","Trap_Year","Weir_marks","Carcass_recaptures","Carcass_unmarked","n1","n2","m2","Nhat","Vhat","lower95","upper95"
"1","Johnson Creek Weir","Johnson Creek",1998,60,38,30,60,68,38,106.923076923077,45.6597633136095,93.6789632590539,120.1671905871
"2","Johnson Creek Weir","Johnson Creek",2000,77,18,8,77,26,18,109.842105263158,137.67756232687,86.8442331130023,132.839977413314
"3","Johnson Creek Weir","Johnson Creek",2001,1327,836,4,1327,840,836,1333.34647550777,3.73629036235397,1329.55789621521,1337.13505480033
"4","Johnson Creek Weir","Johnson Creek",2002,1084,602,9,1084,611,602,1100.19402985075,13.1159316592878,1093.09570870682,1107.29235099467
"5","Johnson Creek Weir","Johnson Creek",2003,686,484,16,686,500,484,708.663917525773,9.73074448026515,702.549865841711,714.777969209836
"6","Johnson Creek Weir","Johnson Creek",2004,262,75,6,262,81,75,282.763157894737,54.4057182429759,268.306152423263,297.22016336621
"7","Johnson Creek Weir","Johnson Creek",2005,119,78,0,119,78,78,119,0,119,119
"8","Johnson Creek Weir","Johnson Creek",2006,113,56,1,113,57,56,115,2,112.228141417749,117.771858582251
"9","Johnson Creek Weir","Johnson Creek",2007,318,109,7,318,116,109,338.3,40.6548648648649,325.802811161511,350.797188838489
"10","Johnson Creek Weir","Johnson Creek",2008,554,329,4,554,333,329,560.727272727273,4.62834885520961,556.510607580243,564.943937874302
"11","Johnson Creek Weir","Johnson Creek",2009,695,315,46,695,361,315,796.316455696203,139.131610086348,773.197459322923,819.435452069482
"12","Johnson Creek Weir","Johnson Creek",2010,951,508,20,951,528,508,988.406679764244,33.7691867279602,977.016872578249,999.796486950238
"13","Johnson Creek Weir","Johnson Creek",2011,702,261,59,702,320,261,860.309160305344,325.231518909598,824.962174535081,895.656146075606
"14","Johnson Creek Weir","Johnson Creek",2012,632,252,29,632,281,252,704.557312252964,120.992835284113,682.997950573465,726.116673932463
"15","Johnson Creek Weir","Johnson Creek",2013,905,309,33,905,342,309,1001.44516129032,204.502556086071,973.416300816514,1029.47402176413
"16","Johnson Creek Weir","Johnson Creek",2014,1503,647,5,1503,652,647,1514.6049382716,15.4244638850902,1506.90723598709,1522.30264055612
"17","Johnson Creek Weir","Johnson Creek",2015,895,110,3,895,113,110,919.216216216216,174.317019722425,893.338498717069,945.093933715363
"18","Johnson Creek Weir","Johnson Creek",2016,624,229,0,624,229,229,624,0,624,624
"19","Johnson Creek Weir","Johnson Creek",2017,328,71,0,328,71,71,328,0,328,328
"20","Lolo Creek Weir","Lolo Creek",2014,30,0,0,30,0,0,30,0,30,30
"21","Lolo Creek Weir","Lolo Creek",2015,171,0,0,171,0,0,171,0,171,171
"22","Lolo Creek Weir","Lolo Creek",2016,14,7,52,14,59,7,111.5,568.75,64.7569791305697,158.24302086943
"23","Lolo Creek Weir","Lolo Creek",2017,8,2,74,8,76,2,230,8547,48.7980265008132,411.201973499187
"24","Lostine River Weir","Lostine River",1998,20,4,2,20,6,4,28.4,31.36,17.424,39.376
"25","Lostine River Weir","Lostine River",1999,10,7,41,10,48,7,66.375,115.098958333333,45.3473002129731,87.4026997870269
"26","Lostine River Weir","Lostine River",2000,9,8,52,9,60,8,66.7777777777778,39.1604938271605,54.5124219702025,79.043133585353
"27","Lostine River Weir","Lostine River",2009,706,206,167,706,373,206,1276.38164251208,2477.27069745816,1178.8281540488,1373.93513097536
"28","Lostine River Weir","Lostine River",2010,131,48,1272,131,1320,48,3557.61224489796,153348.590354019,2790.08117405848,4325.14331573744
"29","Lostine River Weir","Lostine River",2011,149,47,1509,149,1556,47,4864.625,318412.95440051,3758.63440075198,5970.61559924802
"30","Lostine River Weir","Lostine River",2012,935,307,210,935,517,307,1573.18181818182,2181.34638530049,1481.6402414324,1664.72339493124
"31","Lostine River Weir","Lostine River",2013,209,30,102,209,132,30,899.967741935484,16582.5292663892,647.572329081445,1152.36315478952
"32","Lostine River Weir","Lostine River",2014,813,203,334,813,537,203,2145.72549019608,10458.485207378,1945.28268844789,2346.16829194427
"33","Lostine River Weir","Lostine River",2015,503,156,95,503,251,156,807.968152866242,1075.04777711988,743.703827299224,872.23247843326
"34","Lostine River Weir","Lostine River",2016,835,235,70,835,305,235,1082.96610169492,813.962959865309,1027.04723093898,1138.88497245085
"35","Lostine River Weir","Lostine River",2017,228,52,37,228,89,52,387.867924528302,884.803607452237,329.566453377151,446.169395679453
"36","Newsome Creek Weir","Newsome Creek",2014,52,0,0,52,0,0,52,0,52,52
"37","Newsome Creek Weir","Newsome Creek",2015,53,0,0,53,0,0,53,0,53,53
"38","Newsome Creek Weir","Newsome Creek",2016,37,8,2,37,10,8,45.4444444444444,29.9308641975309,34.7214594168864,56.1674294720025
"39","Newsome Creek Weir","Newsome Creek",2017,14,1,1,14,2,1,21.5,48.75,7.81504475710644,35.1849552428936
