"","Weir","Species","Release_stream","2000","2001","2002","2003","2004","2005","2006","2007","2008","2010","2011","2012","2013","2014","2015","2016","2017"
"1","Johnson Creek Weir","Chinook","East Fork South Fork Salmon River","","","","","","","","","","","","","1","","","",""
"2","Johnson Creek Weir","Chinook","Johnson Creek near Lunch Creek","","","","","","","","","3","","","","","","","",""
"3","Johnson Creek Weir","Chinook","Upper Johnson Creek- above weir","","","","","","","","","","","","","","","","","5"
"4","Lostine River Weir","Bull Trout","Lostine River","","","","","","","","","","","","","","","2","",""
"5","Lostine River Weir","Chinook","Bear Creek","","","27","45","253","120","","3","52","","","","31","477","","","59"
"6","Lostine River Weir","Chinook","Lostine River","43","150","14","180","","92","114","287","98","","","","","","72","88",""
"7","Lostine River Weir","Chinook","Lower Wallowa River","","","","","","","","","","273","","","","487","221","120","92"
"8","Lostine River Weir","Chinook","Wallowa River","","","","","175","93","","12","129","","197","29","","","79","105","149"
"9","NPT Hatchery Trap","Bull Trout","NPTH Site 1705","","","","","","","","","","","","","","","","","1"
"10","NPT Hatchery Trap","Chinook","Clearwater River at NPTH Trap","","","","","","","","","","","","","","3","","7","1"
"11","NPT Hatchery Trap","Chinook","Lenore Boat Launch","","","","","","","","","","","","","391","55","110","93","23"
"12","NPT Hatchery Trap","Coho","Clearwater River at NPTH Trap","","","","","","","","","","","","","1","","","",""
"13","NPT Hatchery Trap","Coho","Lenore Boat Launch","","","","","","","","","","","","","5","","","",""
"14","NPT Hatchery Trap","Steelhead","Cherry Lane Boat Launch","","","","","","","","","","","","","","5","","",""
"15","NPT Hatchery Trap","Steelhead","Clearwater River at NPTH Trap","","","","","","","","","","","","","","3","","",""
"16","NPT Hatchery Trap","Steelhead","Lenore Boat Launch","","","","","","","","","","","","","","19","1","",""
"17","NPT Hatchery Trap","Steelhead","NPTH Site 1705","","","","","","","","","","","","","","","4","",""
