"","weir","Trap_Year","Marks","Captures","Recaptures","n1","n2","m2","Nhat","Vhat","lower95","upper95"
"1","Camp Creek Weir",2018,1,0,0,1,0,0,1,0,1,1
"2","Dry Creek Weir",2014,5,1,5,5,6,5,6,0,6,6
"3","Dry Creek Weir",2015,2,0,2,2,2,2,2,0,2,2
"4","Freezeout Creek Weir",2014,34,6,28,34,34,28,41.2413793103448,1.74791914387634,38.6500850038031,43.8326736168865
"5","Freezeout Creek Weir",2015,44,15,39,44,54,39,60.875,2.8296493902439,57.5779739009888,64.1720260990112
"6","Freezeout Creek Weir",2016,16,20,14,16,34,14,38.6666666666667,6.61111111111111,33.6270987839564,43.7062345493769
"7","Gumboot Creek Weir",2014,36,3,23,36,26,23,40.625,2.705625,37.4010383066792,43.8489616933208
"8","Gumboot Creek Weir",2015,33,0,17,33,17,17,33,0,33,33
"9","Gumboot Creek Weir",2016,14,2,9,14,11,9,17,1.63636363636364,14.492759575658,19.507240424342
"10","Gumboot Creek Weir",2017,2,1,0,2,1,0,5,6,0.199000104144972,9.80099989585503
"11","Imnaha River Weir",2015,1,6,0,1,6,0,13,42,0.297748231120593,25.7022517688794
"12","Imnaha River Weir",2016,2,0,0,2,0,0,2,0,2,2
"13","Joseph Creek Weir",2011,154,183,15,154,198,15,1926.8125,180285.906479779,1094.59477708567,2759.03022291433
"14","Joseph Creek Weir",2012,261,392,62,261,454,62,1891.22222222222,36609.2438271605,1516.20479451196,2266.23964993248
"15","Joseph Creek Weir",2013,1637,49,826,1637,875,826,1734.05199516324,100.691678840042,1714.3843274461,1753.71966288038
"16","Joseph Creek Weir",2014,141,8,1,141,9,1,709,132533.333333333,-4.54050574114808,1422.54050574115
"17","Joseph Creek Weir",2015,2141,297,712,2141,1009,712,3033.24964936886,2529.60229675688,2934.67115179855,3131.82814693918
"18","Joseph Creek Weir",2016,566,683,248,566,931,248,2121.26506024096,7404.71064247351,1952.6058286403,2289.92429184163
"19","Lostine River Weir",2012,96,3,4,96,7,4,154.2,1427.84,80.1379304636982,228.262069536302
"20","Lostine River Weir",2013,74,5,11,74,16,11,105.25,214.543269230769,76.5413005679999,133.958699432
"21","Lostine River Weir",2014,71,0,0,71,0,0,71,0,71,71
"22","Lostine River Weir",2015,49,1,0,49,1,0,99,2450,1.98494962120567,196.015050378794
"23","Lostine River Weir",2016,60,0,0,60,0,0,60,0,60,60
"24","Lostine River Weir",2017,96,0,0,96,0,0,96,0,96,96
